ID;category_ID;supplier_ID;title;description;supplierCatNo
df87a252-5074-48cb-9417-997d3598d448;90f19e3f-6ed5-498e-b9c1-741ba91cebd6;2a126ab2-67ff-4b0e-9f7f-78c6984bd37d;Volumetric flasks, BLAUBRAND®, class A, DE-M, with PP/PE stopper, ISO batch certificate 150 ml;Boro 3.3. DIN EN ISO 1042. Calibrated to contain (TC, In). All BLAUBRAND® volumetric flasks are delivered with a batch number and batch certificate included in the original packaging. They are also available with individual certificates or DAkkS calibration certificate upon request.;37233
b6757723-678a-4331-b5f2-f213a8031697;90f19e3f-6ed5-498e-b9c1-741ba91cebd6;2a126ab2-67ff-4b0e-9f7f-78c6984bd37d;Volumetric flasks, BLAUBRAND®, class A, DE-M, with PP/PE stopper, ISO batch certificate 500 ml;Boro 3.3. DIN EN ISO 1042. Calibrated to contain (TC, In). All BLAUBRAND® volumetric flasks are delivered with a batch number and batch certificate included in the original packaging. They are also available with individual certificates or DAkkS calibration certificate upon request.;37252
55cffb60-1b17-4391-a17e-adc233d60ee6;1ea3fa52-a32d-4318-a8b1-4c6871726750;dc1a5f7b-6e9d-47d6-9a3e-8030dfea0170;Millex® Syringe Filter Units, Sterile, PVDF 25mm;4mm Millex filters, perfect for small sample sizes. 13mm Millex filters, for processing <10mL. 25mm Millex filters come in several membrane types suitable for filtration and venting purposes;SLSV025LS
81d1546c-6de6-42b7-be3f-182dddc239d4;1ea3fa52-a32d-4318-a8b1-4c6871726750;Agilent;Captiva Premium Syringe Filter, polypropylene housing, nylon membrane, 25 mm diameter, 0.45 µm pore size, 100/pk;;5190-5093
17fc317f-fae5-4e4c-bbaf-ac5b6e80d3e4;7cc89372-7948-4dfc-9c30-9ee5f5d864c9;dc1a5f7b-6e9d-47d6-9a3e-8030dfea0170;Acetonitrile, suitable for HPLC, gradient grade, ≥99.9% 2.5 L in glass bottle;Acetonitrile, suitable for HPLC, gradient grade, ≥99.9%;34851-2.5L
a4af3a3a-f2ec-4e88-94bc-a5c70279459d;7cc89372-7948-4dfc-9c30-9ee5f5d864c9;6a22bc07-36e0-4f97-8025-35b33a884ca2;Acetonitrile (HPLC), Fisher Chemical 2.5 L, Amber Glass;HPLC mobile phase for analytical and preparative separations;A998-212
3047b91c-4500-4adf-a385-ba2e1da63329;7cc89372-7948-4dfc-9c30-9ee5f5d864c9;dc1a5f7b-6e9d-47d6-9a3e-8030dfea0170;Potassium phosphate monobasic 250 g;suitable for HPLC, LiChropur™, 99.5-101.0% (T);57618-250G
4b0c88f8-545e-4aa5-bffe-e77a12141506;d3aea691-2ac2-4ede-ad46-621186a4dcd3;f029604a-9d1a-426e-a0b2-0df151ca9d53;InfinityLab ZORBAX Eclipse Plus C18, 30 x 250 mm, 5 µm;Reversed phase high performance liquid chromatography (HPLC) columns provide seamless scale-up between analytical and preparative columns.;575250-902
a12e662e-0a74-4cfc-9cce-c89fae9b21e0;d3aea691-2ac2-4ede-ad46-621186a4dcd3;4ee3ed1f-6720-4734-ae27-2083988b37d3;BioBasic™ AX HPLC Column 150 mm x 4,6 mm, 5 µm;Use Thermo Scientific™ BioBasic™ AX LC Columns for the separation of proteins, peptides, other anionic species and highly polar molecules.;73105-154630
815c5679-e447-4d77-a191-e9d552e4f69e;90602132-1191-4cf7-8816-6a232cb79c8c;f029604a-9d1a-426e-a0b2-0df151ca9d53;J&W DB-WAX GC Column, 10 m, 0.05 mm, 0.05 µm, 7 inch cage;J&W DB-WAX GC Column, 10 m, 0.05 mm, 0.05 µm, 7 inch cage. This is the most common GC column format compatible with Agilent 5890, 6890, 7820, 7890, 8860, and 8890 series GC systems and all non-Agilent GC systems with a similarly sized oven;126-7012
87458918-ec42-4361-83cd-9ea85517c886;90602132-1191-4cf7-8816-6a232cb79c8c;4ee3ed1f-6720-4734-ae27-2083988b37d3;TraceGOLD TG-1701MS GC Column 0.53 m, 30 m, 3 μm;Thermo Scientific™ TraceGOLD TG-1701MS GC Columns feature a mix of cyano and phenyl groups for increased polarity and a different elution order relative to less polar columns.;26090-3960